age_group,low_risk,moderate_risk,high_risk
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,0,1,0
veteran,1,0,0
veteran,1,0,0
veteran,1,0,0
veteran,0,1,0
