transaction_type,risk_score
sale,62.5
sale,70.875
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,84.375
sale,62.5
sale,70.875
sale,52.5
sale,62.5
sale,52.5
sale,67.5
sale,50.0
sale,52.5
sale,70.875
sale,70.875
sale,70.875
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,67.5
sale,62.5
sale,62.5
sale,52.5
sale,84.375
sale,62.5
sale,62.5
sale,52.5
sale,67.5
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,84.375
sale,70.875
sale,70.875
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,67.5
sale,70.875
sale,70.875
sale,50.0
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,67.5
sale,52.5
sale,52.5
sale,62.5
sale,50.0
sale,70.875
sale,62.5
sale,70.875
sale,62.5
sale,52.5
sale,52.5
sale,70.875
sale,70.875
sale,50.0
sale,67.5
sale,52.5
sale,62.5
sale,50.0
sale,84.375
sale,50.0
sale,67.5
sale,50.0
sale,50.0
sale,50.0
sale,70.875
sale,67.5
sale,62.5
sale,52.5
sale,62.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,50.0
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,67.5
sale,52.5
sale,70.875
sale,67.5
sale,52.5
sale,70.875
sale,50.0
sale,62.5
sale,52.5
sale,70.875
sale,62.5
sale,52.5
sale,70.875
sale,52.5
sale,62.5
sale,84.375
sale,52.5
sale,52.5
sale,50.0
sale,84.375
sale,84.375
sale,70.875
sale,50.0
sale,50.0
sale,62.5
sale,70.875
sale,50.0
sale,84.375
sale,62.5
sale,67.5
sale,62.5
sale,67.5
sale,70.875
sale,50.0
sale,52.5
sale,70.875
sale,52.5
sale,84.375
sale,62.5
sale,52.5
sale,70.875
sale,52.5
sale,70.875
sale,52.5
sale,62.5
sale,50.0
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,50.0
sale,62.5
sale,67.5
sale,52.5
sale,52.5
sale,62.5
sale,62.5
sale,67.5
sale,50.0
sale,70.875
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,50.0
sale,62.5
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,84.375
sale,52.5
sale,52.5
sale,70.875
sale,50.0
sale,52.5
sale,70.875
sale,52.5
sale,84.375
sale,62.5
sale,52.5
sale,67.5
sale,50.0
sale,84.375
sale,50.0
sale,50.0
sale,67.5
sale,52.5
sale,52.5
sale,62.5
sale,62.5
sale,50.0
sale,52.5
sale,50.0
sale,52.5
sale,62.5
sale,50.0
sale,67.5
sale,50.0
sale,62.5
sale,52.5
sale,62.5
sale,62.5
sale,62.5
sale,52.5
sale,67.5
sale,62.5
sale,52.5
sale,62.5
sale,52.5
sale,84.375
sale,67.5
sale,70.875
sale,70.875
sale,52.5
sale,52.5
sale,84.375
sale,67.5
sale,62.5
sale,52.5
sale,50.0
sale,84.375
sale,84.375
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,67.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,62.5
sale,62.5
sale,62.5
sale,62.5
sale,52.5
sale,50.0
sale,52.5
sale,70.875
sale,62.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,70.875
sale,62.5
sale,52.5
sale,84.375
sale,62.5
sale,50.0
sale,50.0
sale,50.0
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,84.375
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,70.875
sale,62.5
sale,50.0
sale,70.875
sale,50.0
sale,52.5
sale,70.875
sale,62.5
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,50.0
sale,52.5
sale,62.5
sale,70.875
sale,62.5
sale,52.5
sale,84.375
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,84.375
sale,67.5
sale,70.875
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,67.5
sale,62.5
sale,62.5
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,62.5
sale,84.375
sale,62.5
sale,52.5
sale,62.5
sale,52.5
sale,67.5
sale,52.5
sale,67.5
sale,50.0
sale,50.0
sale,84.375
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,62.5
sale,84.375
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,84.375
sale,52.5
sale,62.5
sale,70.875
sale,52.5
sale,62.5
sale,70.875
sale,62.5
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,84.375
sale,52.5
sale,70.875
sale,62.5
sale,62.5
sale,52.5
sale,62.5
sale,70.875
sale,50.0
sale,62.5
sale,50.0
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,67.5
sale,67.5
sale,62.5
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,70.875
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,67.5
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,67.5
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,67.5
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,70.875
sale,67.5
sale,52.5
sale,84.375
sale,52.5
sale,52.5
sale,70.875
sale,70.875
sale,62.5
sale,50.0
sale,62.5
sale,70.875
sale,84.375
sale,62.5
sale,52.5
sale,52.5
sale,84.375
sale,50.0
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,70.875
sale,84.375
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,67.5
sale,50.0
sale,70.875
sale,84.375
sale,70.875
sale,62.5
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,70.875
sale,52.5
sale,70.875
sale,50.0
sale,52.5
sale,70.875
sale,70.875
sale,62.5
sale,52.5
sale,50.0
sale,52.5
sale,50.0
sale,70.875
sale,70.875
sale,62.5
sale,62.5
sale,67.5
sale,52.5
sale,50.0
sale,70.875
sale,50.0
sale,62.5
sale,52.5
sale,67.5
sale,70.875
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,50.0
sale,50.0
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,70.875
sale,67.5
sale,70.875
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,50.0
sale,50.0
sale,62.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,67.5
sale,62.5
sale,50.0
sale,52.5
sale,67.5
sale,52.5
sale,62.5
sale,52.5
sale,70.875
sale,84.375
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,70.875
sale,52.5
sale,84.375
sale,52.5
sale,84.375
sale,50.0
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,84.375
sale,52.5
sale,52.5
sale,70.875
sale,84.375
sale,84.375
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,70.875
sale,84.375
sale,70.875
sale,50.0
sale,50.0
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,50.0
sale,70.875
sale,50.0
sale,50.0
sale,70.875
sale,84.375
sale,52.5
sale,67.5
sale,50.0
sale,50.0
sale,52.5
sale,52.5
sale,70.875
sale,67.5
sale,62.5
sale,52.5
sale,70.875
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,84.375
sale,50.0
sale,67.5
sale,84.375
sale,70.875
sale,62.5
sale,50.0
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,50.0
sale,50.0
sale,50.0
sale,62.5
sale,67.5
sale,70.875
sale,52.5
sale,50.0
sale,62.5
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,67.5
sale,50.0
sale,84.375
sale,84.375
sale,62.5
sale,70.875
sale,67.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,50.0
sale,52.5
sale,67.5
sale,52.5
sale,62.5
sale,62.5
sale,67.5
sale,62.5
sale,50.0
sale,84.375
sale,62.5
sale,50.0
sale,70.875
sale,52.5
sale,52.5
sale,50.0
sale,70.875
sale,84.375
sale,67.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,84.375
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,67.5
sale,70.875
sale,70.875
sale,52.5
sale,70.875
sale,67.5
sale,50.0
sale,70.875
sale,50.0
sale,70.875
sale,62.5
sale,84.375
sale,50.0
sale,70.875
sale,70.875
sale,84.375
sale,50.0
sale,52.5
sale,52.5
sale,52.5
sale,67.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,67.5
sale,70.875
sale,52.5
sale,70.875
sale,50.0
sale,84.375
sale,62.5
sale,50.0
sale,52.5
sale,70.875
sale,67.5
sale,70.875
sale,52.5
sale,62.5
sale,62.5
sale,70.875
sale,62.5
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,50.0
sale,52.5
sale,52.5
sale,50.0
sale,70.875
sale,62.5
sale,67.5
sale,84.375
sale,62.5
sale,52.5
sale,84.375
sale,52.5
sale,52.5
sale,67.5
sale,52.5
sale,84.375
sale,52.5
sale,67.5
sale,52.5
sale,52.5
sale,62.5
sale,50.0
sale,62.5
sale,62.5
sale,50.0
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,70.875
sale,62.5
sale,52.5
sale,50.0
sale,50.0
sale,67.5
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,70.875
sale,84.375
sale,70.875
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,70.875
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,50.0
sale,62.5
sale,52.5
sale,50.0
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,84.375
sale,62.5
sale,70.875
sale,52.5
sale,70.875
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,52.5
sale,70.875
sale,52.5
sale,50.0
sale,67.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,52.5
sale,52.5
sale,84.375
sale,70.875
sale,50.0
sale,50.0
sale,52.5
sale,70.875
sale,52.5
sale,52.5
sale,84.375
sale,52.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
sale,62.5
sale,52.5
sale,62.5
sale,62.5
sale,70.875
sale,52.5
sale,70.875
sale,67.5
sale,52.5
sale,62.5
sale,52.5
sale,62.5
sale,52.5
sale,52.5
